id,type of property,subtype of property,locality,province,postalCode,price,type of sale,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10626820,HOUSE,HOUSE,Waterloo,Walloon Brabant,1410,350000,residential_sale,1,18,installed,False,False,1,20,1,579,92,637,3,False,to_renovate
10400161,HOUSE,HOUSE,Hermalle-sous-Argenteau,Liège,4681,374000,residential_sale,4,46,hyper_equipped,0,1,1,30,1,0,211,910,4,0,good
10539895,HOUSE,APARTMENT_BLOCK,Dampremy,Hainaut,6020,430000,residential_sale,6,21,semi_equipped,0,1,1,25,1,85,226,190,2,0,just_renovated
10540021,HOUSE,APARTMENT_BLOCK,Jumet,Hainaut,6040,430000,residential_sale,6,21,semi_equipped,0,1,1,25,1,85,226,190,2,0,just_renovated
10632442,HOUSE,HOUSE,Herne,Flemish Brabant,1540,449000,residential_sale,5,44,installed,0,1,1,14,1,774,233,972,4,0,to_be_done_up
10368575,HOUSE,HOUSE,Bruxelles,Brussels,1020,460000,residential_sale,4,17,usa_installed,False,False,1,0,0,0,210,225,2,False,good
10574079,HOUSE,VILLA,WANDRE,Liège,4020,460000,residential_sale,5,34,installed,False,1,0,0,0,0,328,1440,4,False,as_new
10583740,HOUSE,VILLA,BIESME,Namur,5640,469000,residential_sale,5,64,installed,0,1,1,15,1,1271,281,1459,4,0,good
10535424,HOUSE,HOUSE,Woluwe-Saint-Lambert,Brussels,1200,470000,residential_sale,2,40,hyper_equipped,False,False,1,10,1,58,155,161,2,False,good
10510031,HOUSE,TOWN_HOUSE,Uccle,Brussels,1180,495000,residential_sale,3,0,usa_installed,0,1,0,0,1,100,178,200,2,False,to_be_done_up
10314468,HOUSE,HOUSE,Linkebeek,Flemish Brabant,1630,545000,residential_sale,3,47,installed,0,1,1,30,1,550,169,720,3,0,good
10503820,HOUSE,HOUSE,Herstal,Liège,4040,549000,residential_sale,4,58,usa_hyper_equipped,False,False,1,584,1,743,232,904,3,1,just_renovated
10644046,HOUSE,HOUSE,Sombreffe,Namur,5140,590000,residential_sale,4,45,usa_installed,0,1,1,50,1,1700,476,2868,4,0,as_new
10454981,HOUSE,HOUSE,Evere,Brussels,1140,595000,residential_sale,6,27,usa_hyper_equipped,False,False,1,30,1,150,283,235,2,False,good
10489444,HOUSE,APARTMENT_BLOCK,Saint-Nicolas,Liège,4420,599000,residential_sale,9,87,installed,False,False,1,47,0,0,463,567,2,False,good
10551174,HOUSE,MIXED_USE_BUILDING,Orp-Jauche,Walloon Brabant,1350,635000,residential_sale,4,24,not_installed,0,1,1,200,1,11100,440,11128,5,False,just_renovated
10629834,HOUSE,HOUSE,Gent Desteldonk,East Flanders,9042,645000,residential_sale,4,26,installed,False,False,1,30,1,117,217,280,3,False,as_new
10602350,HOUSE,VILLA,Machelen Diegem,Flemish Brabant,1831,675000,residential_sale,6,29,usa_hyper_equipped,0,False,1,0,1,150,200,234,3,False,as_new
10541489,HOUSE,EXCEPTIONAL_PROPERTY,Laeken,Brussels,1020,680000,residential_sale,4,38,usa_hyper_equipped,False,False,1,40,1,350,240,599,3,1,as_new
10377524,HOUSE,MIXED_USE_BUILDING,Woluwe-Saint-Lambert,Brussels,1200,695000,residential_sale,3,25,installed,False,False,0,0,0,0,379,255,2,False,good
10482344,HOUSE,VILLA,Overijse,Flemish Brabant,3090,710000,residential_sale,5,50,semi_equipped,False,False,1,0,1,557,260,675,4,False,to_be_done_up
10635266,HOUSE,HOUSE,Woluwe-Saint-Pierre,Brussels,1150,740000,residential_sale,5,32,usa_hyper_equipped,False,False,1,20,1,230,165,314,2,False,good
10622498,HOUSE,EXCEPTIONAL_PROPERTY,Erpe-Mere Burst,East Flanders,9420,795000,residential_sale,4,29,hyper_equipped,False,False,1,0,0,0,290,1080,4,False,as_new
10593710,HOUSE,VILLA,Roosdaal,Flemish Brabant,1760,820000,residential_sale,6,27,hyper_equipped,1,False,1,0,0,0,370,1936,4,False,as_new
10090079,HOUSE,EXCEPTIONAL_PROPERTY,Dilbeek,Flemish Brabant,1700,839000,residential_sale,5,65,hyper_equipped,0,False,1,30,0,0,392,855,3,1,as_new
10605759,HOUSE,HOUSE,Uccle,Brussels,1180,865000,residential_sale,4,50,hyper_equipped,False,False,1,54,0,0,220,125,2,False,as_new
10551226,HOUSE,HOUSE,Watermael-Boitsfort,Brussels,1170,888000,residential_sale,5,31,usa_hyper_equipped,False,False,1,40,1,400,300,460,2,False,as_new
10673567,APARTMENT,APARTMENT,Oostende,West Flanders,8400,200000,residential_sale,3,0,installed,False,False,1,0,0,0,101,0,0,False,good
10674527,APARTMENT,APARTMENT,Oostende,West Flanders,8400,225000,residential_sale,1,30,semi_equipped,False,False,1,1,0,0,65,0,2,False,to_renovate
10674769,APARTMENT,APARTMENT,Koekelberg,Brussels,1081,249000,residential_sale,2,32,installed,0,1,1,3,0,0,105,0,2,0,good
10673390,APARTMENT,APARTMENT,Uccle,Brussels,1180,250000,residential_sale,2,16,0,False,False,1,24,0,0,80,0,4,False,to_be_done_up
10673589,APARTMENT,APARTMENT,Gent,East Flanders,9000,279000,residential_sale,3,24,hyper_equipped,False,False,1,7,0,0,101,0,0,False,as_new
10674417,APARTMENT,APARTMENT,Mariakerke,East Flanders,9030,355000,residential_sale,3,19,hyper_equipped,False,False,0,0,1,63,128,0,0,False,as_new
10674597,APARTMENT,APARTMENT,GENTBRUGGE,East Flanders,9050,373500,residential_sale,2,32,usa_installed,False,False,1,10,0,0,75,0,0,False,as_new
10673384,APARTMENT,DUPLEX,Woluwe-Saint-Pierre,Brussels,1150,375000,residential_sale,1,32,hyper_equipped,0,False,1,7,0,0,80,0,2,False,as_new
10674728,APARTMENT,APARTMENT,Gent,East Flanders,9000,475000,residential_sale,2,0,0,False,False,1,0,1,0,111,0,2,False,good
10658067,APARTMENT,GROUND_FLOOR,Bruxelles,Brussels,1000,295000,residential_sale,1,35,usa_hyper_equipped,False,False,0,0,0,0,75,0,2,False,as_new
